pair,indel_num,corr_af,corr_relax,rmsd,plddt_iso,plddt_ref
1,3,0.078,-0.02,2.046,89.189,91.27
2,1,-0.024,0.019,0.764,92.704,94.837
3,1,0.077,-0.035,1.501,94.913,97.145
4,1,0.073,0.025,0.624,96.919,97.042
5,2,0.062,0.001,0.689,96.889,97.696
6,1,0.034,0.019,2.085,81.493,85.564
7,1,0.131,0.189,0.535,95.59,96.079
8,1,0.119,0.126,2.201,92.492,93.347
9,4,0.067,0.023,14.263,84.026,87.489
10,1,-0.007,0.06,5.157,89.602,90.374
11,5,0.231,0.159,1.254,84.656,95.343
12,3,0.046,-0.003,2.295,92.383,95.425
13,6,0.039,0.029,3.592,86.718,87.078
14,3,0.007,0.059,3.847,87.272,90.334
