pair,indel_num,corr_af,corr_relax,rmsd,plddt_iso,plddt_ref
1,3,0.361,0.273,2.046,89.189,91.27
2,1,0.136,0.192,0.764,92.704,94.837
3,1,0.119,0.159,1.501,94.913,97.145
4,1,0.018,0.143,0.624,96.919,97.042
5,2,0.488,0.147,0.689,96.889,97.696
6,1,0.064,0.225,2.085,81.493,85.564
7,1,0.254,0.402,0.535,95.59,96.079
8,1,0.158,0.273,2.201,92.492,93.347
9,4,0.517,0.231,14.263,84.026,87.489
10,1,0.17,-0.072,5.157,89.602,90.374
11,5,-0.132,-0.005,1.254,84.656,95.343
12,3,0.227,0.361,2.295,92.383,95.425
13,6,0.273,0.209,3.592,86.718,87.078
14,3,0.056,0.067,3.847,87.272,90.334
